Strain Name	Virus Species	GenBank Accession	Sequence Length	Collection Date	Host	GenBank Host	Country	Mol Type
10613	Human coronavirus HKU1	FJ656115	386	01/2004	Human	Homo sapiens	Sweden	genomic RNA	
10613	Human coronavirus HKU1	FJ656134	829	01/2004	Human	Homo sapiens	Sweden	genomic RNA	
10619	Human coronavirus HKU1	FJ656116	391	02/2004	Human	Homo sapiens	Sweden	genomic RNA	
10619	Human coronavirus HKU1	FJ656135	829	02/2004	Human	Homo sapiens	Sweden	genomic RNA	
10630	Human coronavirus HKU1	FJ656117	391	02/2004	Human	Homo sapiens	Sweden	genomic RNA	
10630	Human coronavirus HKU1	FJ656136	829	02/2004	Human	Homo sapiens	Sweden	genomic RNA	
10633	Human coronavirus HKU1	FJ656118	391	02/2004	Human	Homo sapiens	Sweden	genomic RNA	
10633	Human coronavirus HKU1	FJ656137	829	02/2004	Human	Homo sapiens	Sweden	genomic RNA	
10640	Human coronavirus HKU1	FJ656119	391	02/2004	Human	Homo sapiens	Sweden	genomic RNA	
10640	Human coronavirus HKU1	FJ656138	829	02/2004	Human	Homo sapiens	Sweden	genomic RNA	
10645	Human coronavirus HKU1	FJ656120	391	02/2004	Human	Homo sapiens	Sweden	genomic RNA	
10645	Human coronavirus HKU1	FJ656139	829	02/2004	Human	Homo sapiens	Sweden	genomic RNA	
10648	Human coronavirus HKU1	FJ656121	391	02/2004	Human	Homo sapiens	Sweden	genomic RNA	
10648	Human coronavirus HKU1	FJ656140	829	02/2004	Human	Homo sapiens	Sweden	genomic RNA	
10650	Human coronavirus HKU1	FJ656122	391	02/2004	Human	Homo sapiens	Sweden	genomic RNA	
10650	Human coronavirus HKU1	FJ656141	829	02/2004	Human	Homo sapiens	Sweden	genomic RNA	
10701	Human coronavirus HKU1	FJ656142	829	03/2004	Human	Homo sapiens	Sweden	genomic RNA	
110050	Human coronavirus HKU1	FJ656132	391	01/2006	Human	Homo sapiens	Sweden	genomic RNA	
110050	Human coronavirus HKU1	FJ656151	829	01/2006	Human	Homo sapiens	Sweden	genomic RNA	
110061	Human coronavirus HKU1	FJ656133	391	02/2006	Human	Homo sapiens	Sweden	genomic RNA	
110061	Human coronavirus HKU1	FJ656152	829	02/2006	Human	Homo sapiens	Sweden	genomic RNA	
12MYKL0163	Human coronavirus HKU1	KR055512	1115	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0163	Human coronavirus HKU1	KR055532	1323	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0163	Human coronavirus HKU1	KR055554	897	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0181	Human coronavirus HKU1	KR055513	1115	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0181	Human coronavirus HKU1	KR055533	1323	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0181	Human coronavirus HKU1	KR055555	897	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0323	Human coronavirus HKU1	KR055514	1115	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0323	Human coronavirus HKU1	KR055534	1323	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0323	Human coronavirus HKU1	KR055556	897	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0407	Human coronavirus HKU1	KR055515	1115	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0407	Human coronavirus HKU1	KR055535	1323	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0407	Human coronavirus HKU1	KR055557	897	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0447	Human coronavirus HKU1	KR055516	1115	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0447	Human coronavirus HKU1	KR055536	1323	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0447	Human coronavirus HKU1	KR055558	897	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0529	Human coronavirus HKU1	KR055517	1115	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0529	Human coronavirus HKU1	KR055537	1323	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0529	Human coronavirus HKU1	KR055559	897	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0624	Human coronavirus HKU1	KR055518	1115	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0624	Human coronavirus HKU1	KR055538	1323	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0624	Human coronavirus HKU1	KR055560	897	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0737	Human coronavirus HKU1	KR055519	1115	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0737	Human coronavirus HKU1	KR055539	1323	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0737	Human coronavirus HKU1	KR055561	897	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0759	Human coronavirus HKU1	KR055520	1115	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0759	Human coronavirus HKU1	KR055540	1323	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0759	Human coronavirus HKU1	KR055562	897	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0777	Human coronavirus HKU1	KR055521	1115	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0777	Human coronavirus HKU1	KR055541	1323	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0777	Human coronavirus HKU1	KR055563	897	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0790	Human coronavirus HKU1	KR055522	1115	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0790	Human coronavirus HKU1	KR055542	1323	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0790	Human coronavirus HKU1	KR055564	897	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0841	Human coronavirus HKU1	KR055523	854	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0841	Human coronavirus HKU1	KR055543	1323	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0841	Human coronavirus HKU1	KR055565	897	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL1058	Human coronavirus HKU1	KR055524	1115	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL1058	Human coronavirus HKU1	KR055544	1323	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL1058	Human coronavirus HKU1	KR055566	897	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL1061	Human coronavirus HKU1	KR055525	1115	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL1061	Human coronavirus HKU1	KR055545	1323	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL1061	Human coronavirus HKU1	KR055567	897	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL1075	Human coronavirus HKU1	KR055526	1115	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL1075	Human coronavirus HKU1	KR055546	1323	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL1075	Human coronavirus HKU1	KR055568	897	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL1132	Human coronavirus HKU1	KR055527	1115	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL1132	Human coronavirus HKU1	KR055547	1323	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL1132	Human coronavirus HKU1	KR055569	897	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL1153	Human coronavirus HKU1	KR055528	1115	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL1153	Human coronavirus HKU1	KR055548	1323	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL1153	Human coronavirus HKU1	KR055570	897	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL1214	Human coronavirus HKU1	KR055549	1323	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL1214	Human coronavirus HKU1	KR055571	897	2012	Human	Homo sapiens	Malaysia	genomic RNA	
