Strain Name	Virus Species	GenBank Accession	Sequence Length	Collection Date	Host	GenBank Host	Country	Mol Type
A03	Betacoronavirus 1	KP965423	303	2009	Owl	Megascops choliba	Brazil	genomic RNA	
A04	Betacoronavirus 1	KP965426	375	2009	Owl	Asio clamator	Brazil	genomic RNA	
A06	Betacoronavirus 1	KP965429	315	2009	Hawk	Rupornis magnirostris	Brazil	genomic RNA	
A07	Betacoronavirus 1	KP965424	309	2009	Owl	Asio clamator	Brazil	genomic RNA	
A08	Betacoronavirus 1	KP965431	310	2009	Avian	Pitangus sulphuratus	Brazil	genomic RNA	
A09	Betacoronavirus 1	KP965430	310	2009	Vulture	Coragyps atratus	Brazil	genomic RNA	
A10	Betacoronavirus 1	KP965425	304	2009	Owl	Megascops choliba	Brazil	genomic RNA	
A12	Betacoronavirus 1	KP965433	321	2010	Pigeon	Columba livia	Brazil	genomic RNA	
B02	Betacoronavirus 1	KP965427	307	2009	Avian	Pyroderus scutatus	Brazil	genomic RNA	
B03	Betacoronavirus 1	KP965428	306	2009	Avian	Ara ararauna	Brazil	genomic RNA	
BCoV/WD/2003/WDBR-299	Betacoronavirus 1	JF795416	327	2003	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2003/WDBR-587	Betacoronavirus 1	JF795413	327	2003	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2003/WDBR-841	Betacoronavirus 1	JF795407	327	2003	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2003/WDBR-850	Betacoronavirus 1	JF795409	327	2003	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2003/WDBR-868	Betacoronavirus 1	JF795412	327	2003	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2003/WDBR-887	Betacoronavirus 1	JF795415	327	2003	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2003/WDBR-9146	Betacoronavirus 1	JF795405	327	2003	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2003/WDBR-9146	Betacoronavirus 1	KP284096	4043	2003	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2003/WDBR-9215	Betacoronavirus 1	JF795410	327	2003	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2003/WDBR-9224	Betacoronavirus 1	JF795411	327	2003	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2003/WDBR-923	Betacoronavirus 1	JF795408	327	2003	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2003/WDBR-933	Betacoronavirus 1	JF795417	327	2003	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
